GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G11104,2022,Victoriaville,Victoriaville,Quebec,5473,311515,"Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing","Fabrication de beurre, de fromage et de produits laitiers secs et concentrés",Lactalis Canada Inc.,,25540.2589,0.477123,13.359444,0.420623,111.465095,25665.08344
G11105,2022,Winchester,Winchester,Ontario,3840,311515,"Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing","Fabrication de beurre, de fromage et de produits laitiers secs et concentrés",Lactalis Canada Inc.,,20333.50778,0.398927,11.169956,0.35415,93.84975,20438.52749
G11106,2022,Strathcona Paper LP,Napanee,Ontario,4831,322130,Paperboard Mills,Usines de carton,Strathcona Paper GP Inc.,,35893.725,0.7752,21.7056,0.6273,166.2345,36081.6651
G11107,2022,Beiseker Compressor Station 04-15,Beiseker,Alberta,17192,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Lynx Energy ULC,,10530.0972,182.2607,5103.2996,1.0996,291.394,15924.7908
G11108,2022,Joffre Compressor Station 04-22,Joffre,Alberta,17195,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Lynx Energy ULC,,6802.7221,121.7835,3409.938,2.1906,580.509,10793.1691
G11109,2022,LA CIE MATÉRIAUX DE CONSTRUCTION BP CANADA - Pont-Rouge,Pont-Rouge,Quebec,4982,321216,Particle Board and Fibreboard Mills,Usines de panneaux de particules et de fibres,La Cie Matériaux de Construction BP Canada,,18672.671,0.381,10.668,0.458,121.37,18804.709
G11111,2022,McCain Foods Coaldale FF plant,COALDALE,Alberta,5020,311410,Frozen Food Manufacturing,Fabrication d'aliments congelés,McCain Foods Canada Ltd.,,27472,0.67,18.76,0.46,121.9,27612.66
G11112,2022,Ferrier Comp Stn 09-03,CALGARY,Alberta,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Spartan Delta Corp.,,52736.16983,188.40352,5275.29856,13.21166,3501.0899,61512.55829
G11113,2022,Montreal Sulphur Plant,Montréal-Est,Quebec,2229,325189,All Other Basic Inorganic Chemical Manufacturing,Fabrication de tous les autres produits chimiques inorganiques de base,Suncor Energy Products Partnership,Suncor Energy Inc,20627.14,6.290925,176.1459,0.263234,69.75701,20873.81231
G11114,2022,Portable Plant 020008,Rogocz Pit,Alberta,21076,237310,"Highway, Street and Bridge Construction","Construction de routes, de rues et de ponts",Border Paving Ltd.,,1056.21397,0.02017,0.56476,0.010568,2.80052,1059.57925
G11115,2022,Guelph Beef,Guelph,Ontario,11105,311616,Beef cattle slaughtering,Abattage de bovins de boucherie,Cargill Limited,,12739.85,1.584,44.352,0.737,195.305,12979.507
G11116,2022,USINE MONTREAL,MONTRÉAL,Quebec,705,311990,All Other Food Manufacturing,Fabrication de tous les autres aliments,Lallemand Inc.,,13861,0.24,6.72,0.22,58.3,13926.02
G11119,2022,MSC Toronto,Etobicoke,Ontario,4527,332810,"Coating, Engraving, Heat Treating and Allied Activities","Revêtement, gravure, traitement thermique et activités analogues",Continuous Colour Coat Limited,Material Sciences Corporation,12409.53,0.235,6.58,0.209,55.385,12471.495
G11120,2022,8 WG/ 8 Esc Trenton,Astra,Ontario,744,911110,Defence Services,Services de défense,DND/ MDN,DND,23580.3201,0.5497,15.3916,0.794,210.41,23806.1217
G11121,2022,Spray Lake Sawmills (1980) Ltd.,Cochrane,Alberta,2517,321114,Wood Preservation,Préservation du bois,Spray Lake Sawmills (1980) Ltd.,,11938.16543,0.288847,8.087716,0.460983,122.160495,12068.41364
G11122,2022,CFB/ BFC Kingston,Kingston,Ontario,7294,911110,Defence Services,Services de défense,DND/ MDN,DND,17341.0974,0.334,9.352,0.316,83.74,17434.1894
G11123,2022,"Fabrication région Est, Sherbrooke",Sherbrooke,Quebec,1878,322121,Paper (except Newsprint) Mills,"Usines de papier, sauf le papier journal",Produits Kruger Inc.,,10140.615,2.296,64.288,0.178,47.17,10252.073
G11124,2022,Baycoat,Hamilton,Ontario,15,332810,"Coating, Engraving, Heat Treating and Allied Activities","Revêtement, gravure, traitement thermique et activités analogues","Dofasco Inc., Stelco Inc.",,29152,0.57,15.96,0.51,135.15,29303.11
G11125,2022,Sanimax ACI,Lévis,Quebec,8596,311614,Rendering and Meat Processing from Carcasses,Fonte des graisses animales et transformation de la viande provenant de carcasses,Sanimax ACI,,26258.0498,0.4276,11.9728,0.4207,111.4855,26381.5081
G11126,2022,WINDSOR ALUMINUM PLANT,Windsor,Ontario,4416,331529,Non-Ferrous Foundries (except Die-Casting),Fonderies de métaux non ferreux (sauf moulage sous pression),Nemak of Canada Corp.,,742.1543,0.0152,0.4256,0.0135,3.5775,746.1574
G11127,2022,4 WG/ 4 Esc Cold Lake,Cold Lake,Alberta,6697,911110,Defence Services,Services de défense,DND/ MDN,DND,24751.943,0.5422,15.1816,0.8581,227.3965,24994.5211
G11128,2022,Sivaco Québec,Marieville,Quebec,3812,331222,Steel Wire Drawing,Étirage de fils d'acier,Groupe des tréfileries Sivaco 2004,,13767,0.323,9.044,0.3041,80.5865,13856.6305
G11129,2022,Welland Plant,Niagara Falls,Ontario,222,325999,All Other Miscellaneous Chemical Product Manufacturing,Fabrication de tous les autres produits chimiques divers,Cytec Canada Inc.,,14156.1652,0.3059,8.5652,0.2046,54.219,14218.9494
G11130,2022,Swan Hills Treatment Center,Swan Hills,Alberta,1042,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,SUEZ Canada Waste Services Inc.,,23064.5,5.082,142.296,23.75,6293.75,29500.546
G11131,2022,Channel Lake 12-29,,Alberta,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canlin Energy Corporation,,8910.3154,50.3198,1408.9544,0.2287,60.6055,10379.8753
G11132,2022,CAMI Assembly Plant,Ingersoll,Ontario,3480,336110,Automobile and Light-Duty Motor Vehicle Manufacturing,Fabrication de voitures et de véhicules automobiles légers,General Motors of Canada Company,General Motors of Canada Company,20976.504,0.394,11.032,0.351,93.015,21080.551
G11133,2022,3M BROCKVILLE 501,BROCKVILLE,Ontario,3210,322220,Paper Bag and Coated and Treated Paper Manufacturing,Fabrication de sacs en papier et de papier couché et traité,3M Canada Company,3M Canada Company,14112.88,0.267,7.476,0.238,63.07,14183.426
G11134,2022,Queen's University - Kingston Main Campus,Kingston,Ontario,10730,611310,Universities,Universités,Queen's University at Kingston,,42956,10.754,301.112,1.077,285.405,43542.517
G11135,2022,Portage la Prairie,Portage La Prairie,Manitoba,21477,311410,Frozen Food Manufacturing,Fabrication d'aliments congelés,Simplot Canada (II) Ltd.,,62800,25.967,727.076,1.5586,413.029,63940.105
G11136,2022,MCCAIN FOODS (CANADA) - PORTAGE LA PRAIRIE,Portage La Prairie,Manitoba,6938,311410,Frozen Food Manufacturing,Fabrication d'aliments congelés,McCain Foods Canada Ltd.,,31799,0.57,15.96,0.49,129.85,31944.81
G11139,2022,Galloway Gas Plant 12-05-054-20W5,Edson,Alberta,17070,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Cenovus Energy Inc.,Cenovus,3466.75082,914.67791,25610.98148,0.66296,175.6844,29253.4167
G11140,2022,CKF - HANTSPORT,Hantsport,Nova Scotia,6006,322299,All Other Converted Paper Product Manufacturing,Fabrication de tous les autres produits en papier transformé,CKF Inc.,,11087.06,5.404,151.312,0.2006,53.159,11291.531
G11142,2022,MCMASTER UNIVERSITY,HAMILTON,Ontario,10600,611310,Universities,Universités,McMaster University,,41659.9064,3.27391,91.66948,0.844691,223.843115,41975.419
G11143,2022,Rowley Gas Plant 04-09-031-20W4,Morrin,Alberta,16987,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Pine Cliff Energy Ltd.,,5215.75984,26.08413,730.35564,0.13324,35.3086,5981.42408
G11144,2022,Stolberg Dehy 02-03-041-14W5,Nordegg,Alberta,17072,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tidewater Midstream and Infrastructure Ltd.,,13441.3887,114.9921,3219.7788,1.1985,317.6025,16978.77
G11150,2022,Glen Ewen Sour Gas Plant 05-14,Glen Ewen,Saskatchewan,22243,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Steel Reef Infrastructure Corp.,,11723.3741,55.5557,1555.5596,0.2029,53.7685,13332.7022
G11151,2022,Formica Canada Inc,Saint-Jean-sur-Richelieu,Quebec,4378,326130,"Laminated Plastic Plate, Sheet and Shape Manufacturing","Fabrication de plaques, de feuilles et de formes stratifiées en plastique",Formica Canada Inc.,,29258,0.578,16.184,0.554,146.81,29420.994
G11153,2022,G/BS 3 DIV Edmonton Garrison Suffield,Ralston,Alberta,6578,911110,Defence Services,Services de défense,DND/ MDN,DND,13516.1512,0.2599,7.2772,0.2573,68.1845,13591.6129
G11155,2022,LRE - Donnelly Gas Plant 06-01,,Alberta,22578,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Long Run Exploration Ltd,,9103.9308,87.7418,2456.7704,0.8593,227.7145,11788.4157
G11156,2022,Gimli Plant,Gimli,Manitoba,2097,312140,Distilleries,Distilleries,Diageo Canada Inc.,,33856.497,0.722,20.216,0.59,156.35,34033.063
G11158,2022,"Kimberly Clark, Huntsville Mill",Huntsville,Ontario,2917,322121,Paper (except Newsprint) Mills,"Usines de papier, sauf le papier journal",Kimberly-Clark Inc.,,16798.38208,0.32899,9.21172,0.290341,76.940365,16884.53416
G11159,2022,Warden Energy Centre,Markham,Ontario,10448,221330,Steam and Air-Conditioning Supply,Production de vapeur et conditionnement de l'air,Markham District Energy Inc.,,24457.3,0.462232,12.942496,0.412261,109.249165,24719.83316
